i=0 isite1=1 A_spin=0 isite2=2 B_spin=0 tmp_V=-0.025000 
i=1 isite1=1 A_spin=0 isite2=2 B_spin=1 tmp_V=0.025000 
i=2 isite1=1 A_spin=1 isite2=2 B_spin=0 tmp_V=0.025000 
i=3 isite1=1 A_spin=1 isite2=2 B_spin=1 tmp_V=-0.025000 
i=4 isite1=1 A_spin=0 isite2=3 B_spin=0 tmp_V=-0.012500 
i=5 isite1=1 A_spin=0 isite2=3 B_spin=1 tmp_V=0.012500 
i=6 isite1=1 A_spin=1 isite2=3 B_spin=0 tmp_V=0.012500 
i=7 isite1=1 A_spin=1 isite2=3 B_spin=1 tmp_V=-0.012500 
i=8 isite1=1 A_spin=0 isite2=4 B_spin=0 tmp_V=-0.012500 
i=9 isite1=1 A_spin=0 isite2=4 B_spin=1 tmp_V=0.012500 
i=10 isite1=1 A_spin=1 isite2=4 B_spin=0 tmp_V=0.012500 
i=11 isite1=1 A_spin=1 isite2=4 B_spin=1 tmp_V=-0.012500 
i=12 isite1=1 A_spin=0 isite2=11 B_spin=0 tmp_V=-0.012500 
i=13 isite1=1 A_spin=0 isite2=11 B_spin=1 tmp_V=0.012500 
i=14 isite1=1 A_spin=1 isite2=11 B_spin=0 tmp_V=0.012500 
i=15 isite1=1 A_spin=1 isite2=11 B_spin=1 tmp_V=-0.012500 
i=16 isite1=1 A_spin=0 isite2=8 B_spin=0 tmp_V=-0.012500 
i=17 isite1=1 A_spin=0 isite2=8 B_spin=1 tmp_V=0.012500 
i=18 isite1=1 A_spin=1 isite2=8 B_spin=0 tmp_V=0.012500 
i=19 isite1=1 A_spin=1 isite2=8 B_spin=1 tmp_V=-0.012500 
i=20 isite1=2 A_spin=0 isite2=1 B_spin=0 tmp_V=-0.025000 
i=21 isite1=2 A_spin=0 isite2=1 B_spin=1 tmp_V=0.025000 
i=22 isite1=2 A_spin=1 isite2=1 B_spin=0 tmp_V=0.025000 
i=23 isite1=2 A_spin=1 isite2=1 B_spin=1 tmp_V=-0.025000 
i=24 isite1=2 A_spin=0 isite2=3 B_spin=0 tmp_V=-0.012500 
i=25 isite1=2 A_spin=0 isite2=3 B_spin=1 tmp_V=0.012500 
i=26 isite1=2 A_spin=1 isite2=3 B_spin=0 tmp_V=0.012500 
i=27 isite1=2 A_spin=1 isite2=3 B_spin=1 tmp_V=-0.012500 
i=28 isite1=2 A_spin=0 isite2=4 B_spin=0 tmp_V=-0.012500 
i=29 isite1=2 A_spin=0 isite2=4 B_spin=1 tmp_V=0.012500 
i=30 isite1=2 A_spin=1 isite2=4 B_spin=0 tmp_V=0.012500 
i=31 isite1=2 A_spin=1 isite2=4 B_spin=1 tmp_V=-0.012500 
i=32 isite1=2 A_spin=0 isite2=11 B_spin=0 tmp_V=-0.012500 
i=33 isite1=2 A_spin=0 isite2=11 B_spin=1 tmp_V=0.012500 
i=34 isite1=2 A_spin=1 isite2=11 B_spin=0 tmp_V=0.012500 
i=35 isite1=2 A_spin=1 isite2=11 B_spin=1 tmp_V=-0.012500 
i=36 isite1=2 A_spin=0 isite2=8 B_spin=0 tmp_V=-0.012500 
i=37 isite1=2 A_spin=0 isite2=8 B_spin=1 tmp_V=0.012500 
i=38 isite1=2 A_spin=1 isite2=8 B_spin=0 tmp_V=0.012500 
i=39 isite1=2 A_spin=1 isite2=8 B_spin=1 tmp_V=-0.012500 
i=40 isite1=3 A_spin=0 isite2=1 B_spin=0 tmp_V=-0.012500 
i=41 isite1=3 A_spin=0 isite2=1 B_spin=1 tmp_V=0.012500 
i=42 isite1=3 A_spin=1 isite2=1 B_spin=0 tmp_V=0.012500 
i=43 isite1=3 A_spin=1 isite2=1 B_spin=1 tmp_V=-0.012500 
i=44 isite1=3 A_spin=0 isite2=2 B_spin=0 tmp_V=-0.012500 
i=45 isite1=3 A_spin=0 isite2=2 B_spin=1 tmp_V=0.012500 
i=46 isite1=3 A_spin=1 isite2=2 B_spin=0 tmp_V=0.012500 
i=47 isite1=3 A_spin=1 isite2=2 B_spin=1 tmp_V=-0.012500 
i=48 isite1=3 A_spin=0 isite2=4 B_spin=0 tmp_V=-0.012500 
i=49 isite1=3 A_spin=0 isite2=4 B_spin=1 tmp_V=0.012500 
i=50 isite1=3 A_spin=1 isite2=4 B_spin=0 tmp_V=0.012500 
i=51 isite1=3 A_spin=1 isite2=4 B_spin=1 tmp_V=-0.012500 
